trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",20,0,-107.40409615723023,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",20,3,-122.52140410476734,"{0: 8, 1: 3, 2: 4, 3: 0, 4: 2}",1
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",30,9,-114.03646139599714,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 2}",1
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-132.1399518832578,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",35,0,-234.23158279242315,"{0: 19, 1: 3, 2: 8, 3: 2, 4: 3}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,0,-101.1657542882282,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-65.23306904115667,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",25,0,-147.8087035636145,"{0: 15, 1: 4, 2: 3, 3: 0, 4: 3}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",20,14,-4.485898073175742,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",30,0,-154.67011372975838,"{0: 21, 1: 0, 2: 6, 3: 0, 4: 3}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",20,0,-70.29082668594693,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-113.38640902049623,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",25,5,-24.77724959475,"{0: 17, 1: 2, 2: 0, 3: 0, 4: 1}",1
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",25,0,-185.99294035211605,"{0: 13, 1: 2, 2: 7, 3: 0, 4: 3}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",25,0,-130.83937760816173,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",25,0,-249.94804708954305,"{0: 11, 1: 5, 2: 3, 3: 2, 4: 4}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",30,12,-114.44763234542853,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 1}",1
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",30,16,-29.071811661026175,"{0: 9, 1: 3, 2: 1, 3: 1, 4: 0}",1
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",25,0,-125.97877731265898,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
